Region,Country,Province,StrainID,sra_code,lat,lon,cave,year,adj.lat,adj.lon
North America,Canada,NB,NB33,NB33,45.39043,-65.22053,Glebe Mine,2012,45.659833,-65.3814
North America,Canada,NB,NB47,NB47,45.39043,-65.22053,Glebe Mine,2012,45.659833,-65.3814
North America,Canada,NB,NB57,NB57,45.39043,-65.22053,Glebe Mine,2012,45.659833,-65.3814
North America,Canada,NB,NB41,NB41,45.39043,-65.22053,Glebe Mine,2012,45.659833,-65.3814
North America,Canada,NB,NB61,NB61,45.39043,-65.22053,Glebe Mine,2012,45.659833,-65.3814
North America,Canada,NB,NB50,NB50,45.39043,-65.22053,Glebe Mine,2012,45.659833,-65.3814
North America,Canada,NB,NB9,NB9,45.39043,-65.22053,Glebe Mine,2012,45.659833,-65.3814
North America,Canada,NB,NB23,NB23,45.39043,-65.22053,Glebe Mine,2012,45.659833,-65.3814
North America,Canada,NB,NB44,NB44,45.39043,-65.22053,Glebe Mine,2012,45.659833,-65.3814
North America,USA,VA,US1,US1,43.784759,-72.753782,Greely Mine,2013,43.784759,-72.753782
North America,USA,WV,US5,US5,37.786538,-80.307934,Greenbrier,2010,37.786538,-80.307934
North America,Canada,NB,NB36,NB36,45.180017,-66.030033,Harbells Cave,2012,45.30035,-66.05085
North America,Canada,NB,NB28,NB28,45.180017,-66.030033,Harbells Cave,2012,45.30035,-66.05085
North America,Canada,NB,NB2,NB2,45.180017,-66.030033,Harbells Cave,2012,45.30035,-66.05085
North America,Canada,NB,NB37,NB37,45.180017,-66.030033,Harbells Cave,2012,45.30035,-66.05085
North America,Canada,NB,NB5,NB5,45.180017,-66.030033,Harbells Cave,2012,45.30035,-66.05085
North America,Canada,NB,NB63,NB63,45.180017,-66.030033,Harbells Cave,2012,45.30035,-66.05085
North America,Canada,NB,NB31,NB31,45.180017,-66.030033,Harbells Cave,2012,45.30035,-66.05085
North America,Canada,NB,NB25,NB25,45.180127,-66.400075,Howes Cave,2012,45.180127,-66.400075
North America,USA,OH,US11,US11,38.653343,-82.516937,Lawrence,2011,38.653343,-82.516937
North America,Canada,NB,NB30,NB30,45.36055,-65.26024,Markhamville Mine,2012,45.557967,-65.52665
North America,Canada,NB,NB67,NB67,45.36055,-65.26024,Markhamville Mine,2012,45.557967,-65.52665
North America,Canada,NB,NB1,NB1,45.36055,-65.26024,Markhamville Mine,2012,45.557967,-65.52665
North America,Canada,NB,NB62,NB62,45.36055,-65.26024,Markhamville Mine,2012,45.557967,-65.52665
North America,Canada,NB,NB55,NB55,45.36055,-65.26024,Markhamville Mine,2012,45.557967,-65.52665
North America,Canada,NB,NB38,NB38,45.36055,-65.26024,Markhamville Mine,2012,45.557967,-65.52665
North America,Canada,NB,NB24,NB24,45.36055,-65.26024,Markhamville Mine,2012,45.557967,-65.52665
North America,Canada,NB,NB32,NB32,45.36055,-65.26024,Markhamville Mine,2012,45.557967,-65.52665
North America,Canada,NB,NB39,NB39,45.36055,-65.26024,Markhamville Mine,2012,45.557967,-65.52665
North America,Canada,NB,NB40,NB40,45.36055,-65.26024,Markhamville Mine,2012,45.557967,-65.52665
North America,Canada,NB,NB43,NB43,45.36055,-65.26024,Markhamville Mine,2012,45.557967,-65.52665
North America,Canada,NB,NB6,NB6,45.36055,-65.26024,Markhamville Mine,2012,45.557967,-65.52665
North America,Canada,NB,NB64,NB64,45.36055,-65.26024,Markhamville Mine,2012,45.557967,-65.52665
North America,Canada,NB,NB66,NB66,45.36055,-65.26024,Markhamville Mine,2012,45.557967,-65.52665
North America,Canada,NB,NB69,NB69,45.36055,-65.26024,Markhamville Mine,2012,45.557967,-65.52665
North America,USA,TN,Gd00487,22997-1,36.3805,-84.9325,Missing1,2010,36.3805,-84.9325
North America,USA,TN,Gd00157,22948-1,36.4969,-87.3829,Missing2,2010,36.4969,-87.3829
North America,USA,TN,Gd00490,23444-1,36.4969,-87.3829,Missing2,2011,36.4969,-87.3829
North America,USA,TN,Gd00484,22930-2,36.5129,-82.3041,Missing3,2010,36.5129,-82.3041
North America,USA,VA,Gd00491,23455-1,36.9752,-82.6212,Missing4,2011,36.9752,-82.6212
North America,USA,VA,Gd00481,22469-1,37.314,-80.7037,Missing5,2009,37.314,-80.7037
North America,USA,IN,Gd00489,23434-1W,38.2924,-86.4517,Missing6,2011,38.2924,-86.4517
North America,USA,IN,Gd00488,23414-1W,38.6,-86.1053,Missing7,2011,38.6,-86.1053
North America,USA,WV,Gd00084,22429-8,38.69,-79.36,Missing8,2009,38.69,-79.36
North America,USA,MO,Gd05828,23897-2,39.058,-90.96,Missing9,2012,39.058,-90.96
North America,USA,DE,Gd05827,23877-1,39.5783,-75.639,Missing10,2012,39.5783,-75.639
North America,USA,MD,Gd00485,22949-4,39.6215,-78.6989,Missing11,2010,39.6215,-78.6989
North America,USA,NJ,Gd00156,22442-2,40.8572,-74.9973,Missing12,2009,40.8572,-74.9973
North America,Canada,ON,ON14,ON14,40.900279,-77.356195,Missing13,2012,40.900279,-77.356195
North America,USA,PA,Gd00155,22504-1,40.9193,-77.82,Missing14,2009,40.9193,-77.82
North America,USA,CT,Gd00479,22004-1,41.7925,-73.2453,Missing15,2008,41.7925,-73.2453
North America,USA,CT,Gd00480,22426-2,41.7925,-73.2453,Missing15,2009,41.7925,-73.2453
North America,USA,NY,Gd00482,22480-1,41.8881,-74.2586,Missing16,2009,41.8881,-74.2586
North America,USA,MA,Gd00082,20693-1,42.1531,-72.6316,Missing17,2008,42.1531,-72.6316
North America,USA,MA,Gd00478,20682-10,42.3707,-73.2064,Missing18,2008,42.3707,-73.2064
North America,USA,VT,Gd00477,20674-9,43.0355,-73.093,Missing19,2008,43.0355,-73.093
North America,USA,VT,Gd00483,22884-4W,43.5801,-73.0366,Missing20,2010,43.5801,-73.0366
North America,Canada,ON,ON10,ON10,44.02,-80.06,Missing21,2013,44.02,-80.06
North America,Canada,ON,ON3,ON3,44.28,-77.28,Missing22,2013,44.28,-77.28
North America,Canada,ON,ON11,ON11,44.54,-80.96,Missing23,2013,44.54,-80.96
North America,USA,ME,Gd05826,23874-1,44.5629,-68.3682,Missing24,2011,44.5629,-68.3682
Europe,France,Aquitaine,Gd00494,Gd41,45.1,0.7,Missing25,2009,45.1,0.7
North America,Canada,ON,ON4,ON4,45.3,-77.63,Missing26,2013,45.3,-77.63
North America,Canada,QU,QU12,QU12,45.52,-71.28,Missing27,2013,45.52,-71.28
