GC,title,lat,lon,country,region,county,numfinds,,
 GC1F9KC,Höhle oder Bergwerk ?,N 50° 55.136,E 010° 20.087,Germany,Thüringen,Wartburgkreis,103,,
 GC1FHV8,Cave Cache,N 45° 48.936,E 014° 07.610,Slovenia,Littoral–Inner Carniola Region,Postojna,76,,
 GC1FMW8,Baradla Barlang – Baradla Cave,N 48° 27.918,E 020° 29.910,Hungary,Borsod-Abaúj-Zemplén,Putnoki járás,278,,
 GC1FPA5,Kleine Höhle / Small cave,N 47° 46.391,E 013° 26.249,Austria,Salzburg,Salzburg-Umgebung,538,,
 GC1FPA5,Kleine Höhle / Small cave,N 47° 46.391,E 013° 26.249,Austria,Salzburg,Salzburg-Umgebung,538,,
 GC1FTVA,Lourdes - Grotte,N 47° 34.820,E 008° 12.532,Switzerland,Aargau,Leuggern (19),129,,
 GC1G1FN,Backes-Rallye: Pretzfeld,N 49° 45.308,E 011° 10.429,Germany,Bayern,Forchheim (Lkr),658,,
 GC1G3H5,"Pitigliano, Le vie cave",N 42° 37.966,E 011° 38.917,Italy,Toscana,Grosseto,225,,
 GC1G458,Grafitovy dul / Graphite Mine (Earth),N 48° 49.010,E 014° 18.289,Czechia,Jihočeský kraj,Český Krumlov,1404,,
 GC1G4M5,Jaskyna Silická ladnica - Silická ladnica Cave,N 48° 32.977,E 020° 30.218,Slovakia,Košický kraj,Rožňava,349,,
 GC1GA44,La grotte du chateau - BCLT 2008,N 50° 27.448,E 005° 00.072,Belgium,Namur,Andenne,394,,
 GC1GA7P,La mine du Neufbourg,N 48° 39.961,W 000° 56.139,France,Normandie,Manche,159,,
 GC1GADZ,Vieille Montagne - Mine Schmalgraf,N 50° 41.835,E 005° 59.151,Belgium,Liège,Lontzen,258,,
 GC1GAEF,Vieille Montagne - Mine Lontzen,N 50° 40.911,E 006° 00.399,Belgium,Liège,Lontzen,245,,
 GC1H6GQ,Spitzegel - Die kleine Höhle,N 46° 38.761,E 013° 23.901,Austria,Kärnten,Hermagor,23,,
 GC1H778,Cachticka jaskyna / Cachticka cave,N 48° 44.309,E 017° 46.281,Slovakia,Trenčiansky kraj,Nové Mesto nad Váhom,469,,
 GC1H8VF,USB-Cache IN WARTUNG!,N 48° 11.087,E 011° 43.985,Germany,Bayern,München (Lkr),82,,
 GC1HC42,Vieille Montagne - Mine Fossey,N 50° 42.082,E 006° 02.386,Belgium,Liège,Lontzen,499,,
 GC1HGK3,Nebelhöhle (Fog Cave),N 48° 25.038,E 009° 13.246,Germany,Baden-Württemberg,Reutlingen (Lkr),919,,
 GC1HVZV,Jeskyne Pekarna / Pekarna cave,N 49° 14.523,E 016° 44.744,Czechia,Jihomoravský kraj,Brno-venkov,1503,,
 GC1J0HB,Geburtskanal,N 51° 55.500,E 009° 42.000,Germany,Niedersachsen,Holzminden (Lkr),17,,
 GC1J567,MYSTERY CAVE,N 47° 47.256,E 013° 05.928,Austria,Salzburg,Salzburg,176,,
 GC1J650,Front de mine,N 49° 28.565,E 005° 54.994,France,Grand-Est,Meurthe-et-Moselle,95,,
 GC1JA3V,Lamprechtshöhle - Lamprechts Cave,N 47° 31.567,E 012° 44.360,Austria,Salzburg,Zell am See,792,,
 GC1JNZ4,Grotta dell'Arciere,N 42° 54.087,E 011° 38.997,Italy,Toscana,Siena,101,,
 GC1JRVQ,mine d'heydt,N 49° 29.804,E 005° 53.414,France,Grand-Est,Meurthe-et-Moselle,177,,
 GC1JRXX,La cave de Vitalis,N 43° 46.833,E 003° 26.883,France,Occitanie,Hérault,27,,
 GC1JT98,The Cave and the pond,N 48° 51.815,E 002° 14.470,France,Île-de-France,Paris,129,,
 GC1KFNW,La cave aux Fées,N 48° 14.159,E 002° 52.735,France,Île-de-France,Seine-et-Marne,141,,
 GC1KWZH,Bahnhof Forchheim,N 49° 43.068,E 011° 04.212,Germany,Bayern,Forchheim (Lkr),209,,
 GC1M0HE,La grotte de Spy,N 50° 28.811,E 004° 40.468,Belgium,Namur,Jemeppe-sur-Sambre,406,,
 GC1MG46,"Solna Jama, Salt Cave",N 50° 11.372,E 016° 36.438,Poland,Dolnośląskie,Kłodzki (Dolnośląskie),94,,
 GC1MHHR,Stalactite Cave,N 52° 21.986,E 013° 10.500,Germany,Brandenburg,Potsdam-Mittelmark (Lkr),688,,
 GC1N5RC,PUIT COURIOT MUSEE DE LA MINE ST ETIENNE ,N 45° 26.331,E 004° 22.590,France,Auvergne-Rhône-Alpes,Loire,336,,
 GC1NGBE,Wounded Earth – opencast mine / Tagebau Garzweiler,N 51° 02.749,E 006° 27.878,Germany,Nordrhein-Westfalen,Rhein-Kreis Neuss,2293,,
 GC1NWJ7,Farinet - La Grotte,N 46° 10.933,E 007° 11.233,Switzerland,Valais,Saillon (23),120,,
 GC1P45C,Westumgehung,N 49° 37.243,E 011° 06.838,Germany,Bayern,Forchheim (Lkr),183,,
 GC1PBWD,(Treasures of Dahu) La Grotta della Beaume,N 45° 02.793,E 006° 49.840,Italy,Piemonte,Torino,110,,
 GC1PC2C,Strašínská drací jeskyne/ Strasin - Dragon´s cave,N 49° 10.972,E 013° 37.780,Czechia,Plzeňský kraj,Klatovy,948,,
 GC1PH2X,EGC-Bonus,N 49° 46.804,E 011° 15.313,Germany,Bayern,Forchheim (Lkr),29,,
 GC1PH3Q,EGC- Ein Golf- Cache,N 49° 46.615,E 011° 14.874,Germany,Bayern,Forchheim (Lkr),34,,
 GC1PPWD,Postojna Cave,N 45° 46.840,E 014° 12.330,Slovenia,Littoral–Inner Carniola Region,Postojna,2117,,
 GC1PZ0G,Trainmeuseler Brunnen,N 49° 47.938,E 011° 14.472,Germany,Bayern,Forchheim (Lkr),242,,
 GC1Q5KD,La grotta del ghiaccio,N 45° 19.918,E 007° 37.462,Italy,Piemonte,Torino,43,,
 GC1QVF6,Lourdes Grotte,N 47° 27.193,E 009° 02.032,Switzerland,Thurgau,Wilen (TG) (20),513,,
 GC1R15Y,Malenicka jeskyne - Malenice cave,N 49° 07.819,E 013° 53.026,Czechia,Jihočeský kraj,Strakonice,312,,
 GC1RCF7,Rote Grube / Red Mine,N 50° 28.470,E 012° 41.362,Germany,Sachsen,Erzgebirgskreis,146,,
 GC1RGE1,[BD] - Grotta di Croara,N 44° 26.383,E 011° 22.968,Italy,Emilia-Romagna,Bologna,0,,
 GC1RN5R,Grotte et ancienne cave à fromage de Landric,N 43° 54.978,E 003° 04.707,France,Occitanie,Aveyron,16,,
 GC1RX4F,GBGA-02 - Szemlö-hegyi Cave,N 47° 31.677,E 019° 01.497,Hungary,Budapest,Budapest,289,,
 GC1T5NV,Skocjan Cave,N 45° 39.775,E 013° 59.350,Slovenia,Obalno-kraška,Divača,1352,,
 GC1T7KE,Skocjan Cave,N 45° 39.700,E 013° 59.050,Slovenia,Obalno-kraška,Divača,1,,
 GC1T83M,Cave Hope / Jeskyne Nadeje,N 49° 13.189,E 018° 02.471,Czechia,Zlínský kraj,Vsetín,325,,
 GC1T9X2,Spéléo en Belgique - 1 : grotte Sainte Anne,N 50° 33.393,E 005° 34.827,Belgium,Liège,Esneux,20,,
 GC1TA6Y,Paradana Ice Cave,N 45° 59.342,E 013° 50.674,Slovenia,Goriška,Nova Gorica,58,,
 GC1TBF4,wet cave extreme,N 47° 42.019,E 013° 39.676,Austria,Oberösterreich,Gmunden,50,,
 GC1TCCJ,Stoissengraben - The Cave,N 47° 28.121,E 012° 50.071,Austria,Salzburg,Zell am See,745,,
 GC1THAM,Eisensteinhöhle / Eisenstein Cave,N 47° 49.839,E 016° 08.633,Austria,Niederösterreich,Bezirk Wiener Neustadt,90,,
 GC1THZ5,Pik-Ass in der Höhle,N 47° 46.590,E 014° 53.140,Austria,Niederösterreich,Bezirk Scheibbs,53,,
 GC1TKHR,Groty Mechowskie/Cave in Mechowo,N 54° 42.789,E 018° 17.092,Poland,Pomorskie,Pucki (Pomorskie),94,,
 GC1TM3F,Ebermannstädter Aussichten- Bonus,N 49° 46.402,E 011° 13.347,Germany,Bayern,Forchheim (Lkr),95,,
 GC1TNE8,Heiners Höh,N 49° 47.017,E 011° 14.440,Germany,Bayern,Forchheim (Lkr),190,,
 GC1TPD8,Cave Cache Kanne,N 50° 47.022,E 005° 41.226,Belgium,Liège,Visé,789,,
 GC1TQ5P,Nürnberger Kapelle,N 49° 45.657,E 011° 19.569,Germany,Bayern,Forchheim (Lkr),248,,
 GC1TR2E,Open-Cast Mine Zukunft -Revegetation BlueStoneSea ,N 50° 51.180,E 006° 16.040,Germany,Nordrhein-Westfalen,Städteregion Aachen,1039,,
 GC1TV2Q,Hohle Wege - Stinkende Brunnen,N 48° 39.887,E 016° 20.770,Austria,Niederösterreich,Bezirk Mistelbach,11,,
 GC1V1VY,Event de la forêt enchantée : la mine de la Moria,N 48° 21.316,W 003° 43.221,France,Bretagne,Finistère,151,,
 GC1V206,St. Beatus Cave,N 46° 41.048,E 007° 46.919,Switzerland,Bern,Beatenberg (2),748,,
 GC1V2XK,La mine d 'Ottange,N 49° 26.087,E 006° 01.090,France,Grand-Est,Moselle,37,,
 GC1VAKT,Vier auf einen Streich,N 49° 49.123,E 011° 21.873,Germany,Bayern,Bayreuth (Lkr),45,,
 GC1VKMJ,Cave Palvolgyi,N 47° 32.000,E 019° 00.900,Hungary,Budapest,Budapest,337,,
 GC1VY0Y,Zlatorudne mlyny / Gold ore mine & mill,N 50° 15.078,E 017° 22.004,Czechia,Olomoucký kraj,Jeseník,897,,
 GC1W1JH,Kühberg kleine Höhle,N 47° 48.566,E 013° 04.964,Austria,Salzburg,Salzburg,152,,
 GC1W1JM,Coal mine Station,N 52° 18.882,E 008° 00.429,Germany,Niedersachsen,Osnabrück,164,,
 GC1W2AX,Coal mine Station Bonus,N 52° 18.617,E 008° 00.363,Germany,Niedersachsen,Osnabrück,100,,
 GC1W9T1,Teufelshöhle / Devil's Cave,N 50° 20.266,E 009° 27.304,Germany,Hessen,Main-Kinzig-Kreis,469,,
 GC1WBJE,Event Forêt Enchantée: La Mine de Plomb Argent,N 48° 21.416,W 003° 43.366,France,Bretagne,Finistère,80,,
 GC1WD2H,[BD] - Grotta Corna Bianca,N 45° 55.762,E 010° 24.832,Italy,Lombardia,Brescia,21,,
 GC1WFP5,Potocka zijalka – cave,N 46° 26.946,E 014° 40.138,Slovenia,Savinja Statistical Region,Solčava,118,,
 GC1WG21,Grotte Aux Fées,N 46° 13.346,E 007° 00.238,Switzerland,Valais,Saint-Maurice (23),621,,
 GC1WH3M,Small Cave,N 51° 19.782,E 008° 29.298,Germany,Nordrhein-Westfalen,Hochsauerlandkreis,299,,
 GC1WM1M,Kristallhöhle / Crystal Cave Idar-Oberstein,N 49° 43.633,E 007° 16.580,Germany,Rheinland-Pfalz,Birkenfeld (Lkr),1061,,
 GC1WVYP,Barbarossa cave,N 51° 22.520,E 011° 02.172,Germany,Thüringen,Kyffhäuserkreis,1037,,
 GC1WYRN,Coal Mine Worker,N 52° 18.781,E 008° 00.256,Germany,Niedersachsen,Osnabrück,144,,
 GC1X6Y0,"Sumène #  5, la petite mine abandonnée",N 43° 57.721,E 003° 42.226,France,Occitanie,Gard,29,,
 GC1XAMY,Le trou de mine,N 50° 00.914,E 002° 41.846,France,Hauts-de-France,Somme,522,,
 GC1XAZC,Jingyuetan Ski Trail,N 43° 45.760,E 125° 29.870,China,Jilin, ,0,,
 GC1XCD5,Mine of health,N 46° 37.611,E 013° 40.549,Austria,Kärnten,Villach-Land,362,,
 GC1XEBA,Schiefergrube Herrenberg/Slate Mine Herrenberg  🌍,N 49° 50.926,E 007° 23.321,Germany,Rheinland-Pfalz,Birkenfeld (Lkr),322,,
 GC1XEZP,Zwirns mine,N 46° 37.682,E 013° 38.820,Austria,Kärnten,Villach-Land,476,,
 GC1XT16,Open-Cast Mine Hambach,N 50° 55.910,E 006° 32.865,Germany,Nordrhein-Westfalen,Rhein-Erft-Kreis,1399,,
 GC1XT26,Tse-Tse Fly Cave,N 49° 21.207,E 011° 22.789,Germany,Bayern,Neumarkt in der Oberpfalz (Lkr),189,,
 GC1XW6A,Loupeznicka jeskyne -  The Bandit's cave,N 50° 45.276,E 014° 55.021,Czechia,Liberecký kraj,Liberec,90,,
 GC1XXGX,Tobel Grotte Tils,N 47° 03.650,E 009° 22.930,Switzerland,St. Gallen,Mels (17),170,,
 GC1XYW0,"Autour du Fenarupt #1, La mine",N 48° 14.895,E 007° 10.383,France,Grand-Est,Haut-Rhin,93,,
 GC1XZXH,Trubachtal Cave,N 49° 41.680,E 011° 20.401,Germany,Bayern,Forchheim (Lkr),205,,
 GC1Y12B,Velka jama ( Big Hole),N 48° 23.225,E 017° 46.228,Slovakia,Trnavský kraj,Hlohovec,202,,
 GC1Y1JD,grotta della neve - schneegrotte,N 46° 37.394,E 011° 57.050,Italy,Trentino-Alto Adige,Bolzano - Bozen,25,,
 GC1Y5KB,Hohle Gasse am Zinken,N 47° 33.282,E 010° 27.085,Austria,Tirol,Reutte (Außerfern),112,,
 GC1YB3H,EWR#3:Sunfixl-Höhle,N 47° 06.457,E 015° 06.397,Austria,Steiermark,Voitsberg,124,,
 GC1YBCC,Cave Czernice,N 49° 41.740,E 013° 24.586,Czechia,Plzeňský kraj,Plzeň-město,793,,
 GC1YDJ9,"Spitzkegelhalde ""Hohe Linde"" Point Cone Mine Dump",N 51° 29.499,E 011° 17.253,Germany,Sachsen-Anhalt,Mansfeld-Südharz (Lkr),310,,
 GC1YG7W,Little Cave,N 51° 36.416,E 010° 00.625,Germany,Niedersachsen,Göttingen (Lkr),115,,
 GC1YK4W,The Cave,N 49° 34.711,E 007° 06.806,Germany,Saarland,St. Wendel (Lkr),167,,
 GC1YXDC,the copy cave,N 51° 18.517,E 005° 00.073,Belgium,Antwerpen,Oud-Turnhout,209,,
 GC1YZM2,Schneckenhöhle Schönenbach (Snail Hole Cave),N 47° 22.560,E 010° 04.061,Austria,Vorarlberg,Bregenz,29,,
 GC1Z45Z,Bystrianska cave (jaskyna),N 48° 50.415,E 019° 35.842,Slovakia,Banskobystrický kraj,Brezno,530,,
 GC1Z98B,Dzierzyslaw -Stara kopalnia gipsu/AFW TEAM NO-26,N 50° 03.103,E 017° 59.539,Poland,Opolskie,Głubczycki (Opolskie),142,,
 GC1ZH08,Pseudokarst Cave under Spisska Hill,N 49° 06.234,E 020° 45.765,Slovakia,Prešovský kraj,Levoča,19,,
 GC1ZHND,Vešnerjeva jama,N 46° 28.386,E 015° 33.778,Slovenia,Podravska,Rače-Fram,75,,
 GC200GH,L’ancienne mine d’Entrevernes,N 45° 46.125,E 006° 11.098,France,Auvergne-Rhône-Alpes,Haute-Savoie,46,,
 GC206CT,Wendelstein Cave,N 47° 42.169,E 012° 00.795,Germany,Bayern,Rosenheim (Lkr),651,,
 GC20DQT,Lóczy Cave,N 46° 58.141,E 017° 52.410,Hungary,Veszprém,Balatonfüredi járás,443,,
 GC20DW8,Lake Cave of Tapolca,N 46° 52.998,E 017° 26.595,Hungary,Veszprém,Tapolcai járás,812,,
 GC20FMT,Harmanecká jaskyna – Harmanecka cave,N 48° 48.834,E 019° 02.406,Slovakia,Banskobystrický kraj,Banská Bystrica,403,,
 GC20FMZ,VAZECKA JASKYNA - VAZECKA CAVE,N 49° 03.375,E 019° 58.319,Slovakia,Žilinský kraj,Liptovský Mikuláš,609,,
 GC20JGP,"Sosnowiec"" coalmine. Kopalnia ""Sosnowiec",N 50° 16.876,E 019° 08.935,Poland,Śląskie,Sosnowiec (Śląskie),7,,
 GC20MG1,Belianska Cave - Belianska jaskyna ,N 49° 13.544,E 020° 18.922,Slovakia,Prešovský kraj,Poprad,949,,
 GC20WZ0,Grotta Gigante,N 45° 42.562,E 013° 45.867,Italy,Friuli-Venezia Giulia,Provincia di Trieste,91,,
 GC218K2,Cimrmanova jeskyne - Cimrman's cave,N 50° 27.306,E 014° 33.250,Czechia,Středočeský kraj,Mělník,384,,
 GC229P9,Grotta Cassone,N 37° 41.936,E 015° 02.971,Italy,Sicilia,Catania,763,,
 GC22MPY,Le chemin de la mine,N 42° 56.714,W 000° 06.218,France,Occitanie,Hautes-Pyrénées,23,,
 GC22P67,Dracula's cave ( Draculas Höhle ),N 47° 18.939,E 007° 53.127,Switzerland,Solothurn,Olten (11),203,,
 GC22Y11,Dul Jeronym / The Hieronymus Mine,N 50° 06.125,E 012° 42.730,Czechia,Karlovarský kraj,Sokolov,629,,
 GC22YXV,Radmer Copper Mine,N 47° 31.379,E 014° 42.191,Austria,Steiermark,Leoben,46,,
 GC22ZBG,The Odelstein Cave,N 47° 31.452,E 014° 36.715,Austria,Steiermark,Bezirk Liezen,66,,
 GC230DW,L'ancienne mine de cuivre du Lispach,N 48° 03.333,E 006° 56.862,France,Grand-Est,Vosges,791,,
 GC2388T,Somewhere  2 : grotte et falaises,N 50° 29.647,E 004° 38.338,Belgium,Namur,Jemeppe-sur-Sambre,19,,
