GC,title,lat,lon,country,region,county,numfinds,,
 GC3FB6W,[JLX.33]  Grotta S. Bambino,N 44° 24.585,E 008° 40.688,Italy,Liguria,Genova,64,,
 GC3FDCZ,Skednena jama,N 45° 52.533,E 014° 14.435,Slovenia,Osrednjeslovenska,Logatec,80,,
 GC3FYWN,The blue mine car,N 49° 13.020,E 006° 49.972,Germany,Saarland,Regionalverband Saarbrücken,620,,
 GC3G5BE,NUMBER ONE,N 43° 50.463,E 125° 12.334,China,Jilin, ,12,,
 GC3GE8X,Grotte de Notre Dame de Moulin de Bistain,N 50° 09.495,E 005° 51.116,Belgium,Luxembourg,Gouvy,135,,
 GC3GFZ6,Treasure cave,N 47° 50.434,E 107° 23.900,Mongolia, , ,33,,
 GC3GV2M,Grotte de l'hyène,N 50° 15.633,E 005° 26.559,Belgium,Luxembourg,Hotton,281,,
 GC3H9FH,The Palace of the last Emperor Pu Yi ,N 43° 54.148,E 125° 20.448,China,Jilin, ,23,,
 GC3HD29,Lourdes-Grotte,N 50° 37.008,E 005° 59.836,Belgium,Liège,Baelen,148,,
 GC3HFYE,enemy mine,N 49° 29.346,E 010° 46.987,Germany,Bayern,Fürth (Lkr),191,,
 GC3HP0T,La mine de Pont-Péan,N 48° 00.798,W 001° 42.618,France,Bretagne,Ille-et-Vilaine,57,,
 GC3HTG0,"Petite grotte ""Le trou des hiboux""",N 50° 09.732,E 005° 14.725,Belgium,Namur,Rochefort,343,,
 GC3HYCV,Jaskynne dobrodruzstvo / Cave adventure,N 48° 50.446,E 019° 35.998,Slovakia,Banskobystrický kraj,Brezno,247,,
 GC3HYNX,mine car heßler (reloaded),N 51° 31.265,E 007° 03.469,Germany,Nordrhein-Westfalen,Gelsenkirchen,64,,
 GC3J035,Die Karte von FICHTA GEBIRGA - Die dunkle Mine,N 50° 04.709,E 011° 53.142,Germany,Bayern,Wunsiedel im Fichtelgebirge (Lkr),65,,
 GC3J57V,"Cave in the Hill #2, Debrad",N 48° 39.003,E 021° 00.080,Slovakia,Košický kraj,Košice - okolie,60,,
 GC3JV26,"Cave in the Hill #3, Debrad",N 48° 38.440,E 021° 00.001,Slovakia,Košický kraj,Košice - okolie,56,,
 GC3K6T9,PICCOLA GROTTA A SULZANO,N 45° 41.205,E 010° 06.344,Italy,Lombardia,Brescia,248,,
 GC3KMW5,Zirbenrunde #05 - Der hohle Baumstamm,N 47° 03.447,E 014° 36.965,Austria,Steiermark,Murtal,481,,
 GC3KQ3B,Cave Du Vin,N 43° 06.701,E 002° 50.125,France,Occitanie,Aude,73,,
 GC3KWZD,Grotte de Bohon ,N 50° 21.894,E 005° 29.243,Belgium,Luxembourg,Durbuy,258,,
 GC3KXEM,Die Hohle Erde,N 47° 51.406,E 016° 30.011,Austria,Burgenland,Eisenstadt,317,,
 GC3M417,La Grotte du Talent,N 46° 37.304,E 006° 38.712,Switzerland,Vaud,Bottens (22),92,,
 GC3M4ZC,Boîte de nuit: la Cave de la Fête Triste,N 48° 47.199,E 007° 40.938,France,Grand-Est,Bas-Rhin,43,,
 GC3M8N5,Une mine plutôt humide,N 44° 05.972,E 003° 00.680,France,Occitanie,Aveyron,31,,
 GC3MP25,Sudslavicka sluj/Sudslavice Cave,N 49° 05.467,E 013° 47.733,Czechia,Jihočeský kraj,Prachatice,68,,
 GC3MQHZ,Survival Cache I - Grotta dei Baci,N 38° 57.412,E 008° 35.673,Italy,Sardegna,Carbonia-Iglesias,7,,
 GC3MZ4G,Lost-Cave,N 51° 30.898,E 009° 50.119,Germany,Niedersachsen,Göttingen (Lkr),75,,
 GC3N5GC,La Mina - The Mine,N 46° 17.832,E 011° 05.436,Italy,Trentino-Alto Adige,Trento,9,,
 GC3NKDY,HISTOIRE DE LA MINE,N 46° 09.790,E 002° 50.066,France,Auvergne-Rhône-Alpes,Puy-de-Dôme,22,,
 GC3P2BG,Una grotta nel bosco,N 45° 44.043,E 009° 11.143,Italy,Lombardia,Como,40,,
 GC3P3PH,Berninger Höhle,N 46° 34.875,E 014° 11.915,Austria,Kärnten,Klagenfurt-Land,56,,
 GC3PFYD,Achtung Mine!,N 53° 22.500,E 008° 27.000,Germany,Niedersachsen,Wesermarsch (Lkr),84,,
 GC3PKER,La cave du père GERARDIN,N 48° 40.448,E 005° 55.518,France,Grand-Est,Meurthe-et-Moselle,247,,
 GC3PNW2,ɲ√ #4 Grotta dei Falsari,N 44° 11.600,E 008° 25.328,Italy,Liguria,Savona,119,,
 GC3PR7K,Liskovska jaskyna /cave,N 49° 05.510,E 019° 20.675,Slovakia,Žilinský kraj,Ružomberok,233,,
 GC3PWJG,Kopalnia Soli Bochnia / Bochnia Salt Mine,N 49° 58.152,E 020° 25.070,Poland,Małopolskie,Bocheński (Małopolskie),134,,
 GC3QFMY,Grotte Müntschenberg,N 47° 12.625,E 009° 26.067,Switzerland,St. Gallen,Gams (17),153,,
 GC3QM1X,Irchel - Grotte,N 47° 32.559,E 008° 35.311,Switzerland,Zürich,Freienstein-Teufen (1),323,,
 GC3QR8T,Budapest 2012 - Cave Hunting,N 47° 32.047,E 019° 01.353,Hungary,Budapest,Budapest,46,,
 GC3QRAB,L'ancienne mine,N 45° 02.045,E 006° 29.782,France,Provence-Alpes-Côte d'Azur,Hautes-Alpes,4,,
 GC3QVBZ,Jaskinia Stajnia w Mirowie,N 50° 36.963,E 019° 29.075,Poland,Śląskie,Myszkowski (Śląskie),152,,
 GC3QYVX,HAPPY BIRTHDAY 7 -  THE CAVE,N 50° 35.511,E 005° 41.840,Belgium,Liège,Trooz,125,,
 GC3R0JX,Vlcia jama,N 48° 24.115,E 018° 53.582,Slovakia,Banskobystrický kraj,Banská Štiavnica,428,,
 GC3R5BN,Zur Schneckenloch Höhle 1,N 47° 22.533,E 010° 03.517,Austria,Vorarlberg,Bregenz,67,,
 GC3R5C3,Zur Schneckenloch Höhle 3,N 47° 22.493,E 010° 03.864,Austria,Vorarlberg,Bregenz,64,,
 GC3R5DF,Zur Schneckenloch Höhle 2,N 47° 22.554,E 010° 03.972,Austria,Vorarlberg,Bregenz,38,,
 GC3R7F9,La Mine des Eduits,N 44° 55.556,E 006° 35.244,France,Provence-Alpes-Côte d'Azur,Hautes-Alpes,37,,
 GC3RAG5,Jama/Cave Malikovec,N 45° 38.333,E 015° 11.133,Slovenia,Jugovzhodna Slovenija,Semič,7,,
 GC3RAG5,Jama/Cave Malikovec,N 45° 38.333,E 015° 11.133,Slovenia,Jugovzhodna Slovenija,Semič,7,,
 GC3RB2B,La grotta di... Lourdes.,N 45° 21.276,E 009° 03.159,Italy,Lombardia,Milano,58,,
 GC3RRJD,La grotte du Brahon,N 47° 11.917,E 007° 12.247,Switzerland,Bern,Sonceboz-Sombeval (2),89,,
 GC3T1R3,"[K8] La grotte ""Notre Dame de Lourdes""",N 49° 34.575,E 005° 29.538,Belgium,Luxembourg,Meix-devant-Virton,80,,
 GC3T2N7,La cave de Laudun,N 44° 06.246,E 004° 39.826,France,Occitanie,Gard,33,,
 GC3T4NP,Grotte Notre-Dame de Lourdes,N 50° 03.565,E 004° 59.998,Belgium,Namur,Beauraing,78,,
 GC3TFKT,"Phyrnpass  ""das Bergwerk""",N 47° 37.094,E 014° 17.816,Austria,Oberösterreich,Kirchdorf an der Krems,69,,
 GC3TPJ1,La mine de fer,N 43° 51.118,E 007° 07.719,France,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,25,,
 GC3VEBN,Czerwona Jaskinia i smok,N 50° 49.544,E 015° 39.234,Poland,Dolnośląskie,Jeleniogórski (Dolnośląskie),72,,
 GC3VEEX,Bloc Party: The Cave,N 47° 11.005,E 012° 31.786,Austria,Salzburg,Zell am See,39,,
 GC3VFN0,Lost Mine City,N 46° 50.783,E 013° 38.985,Austria,Kärnten,Spittal an der Drau,79,,
 GC3VTTW,bat cave,N 52° 10.937,E 008° 08.400,Germany,Niedersachsen,Osnabrück (Lkr),230,,
 GC3W892,Grotte ND de Lourdes,N 50° 11.233,E 004° 38.731,Belgium,Namur,Philippeville,86,,
 GC3WP4N,Le loup-garou de la grotte,N 46° 42.103,E 007° 05.769,Switzerland,Fribourg,Pont-en-Ogoz (10),62,,
 GC3WPK3,Lourdes Grotte Libingen (reloaded),N 47° 19.541,E 009° 00.916,Switzerland,St. Gallen,Mosnang (17),133,,
 GC3WXQ3,"Cave, Ardovo",N 48° 31.285,E 020° 25.246,Slovakia,Košický kraj,Rožňava,80,,
 GC3X1RR,Der Hohle Zahn,N 47° 17.227,E 011° 27.221,Austria,Tirol,Innsbruck-Land,347,,
 GC3X2J9,Jama ob Zbiljskem jezeru / A Cave by Zbilje lake,N 46° 09.066,E 014° 24.770,Slovenia,Osrednjeslovenska,Medvode,172,,
 GC3X2J9,Jama ob Zbiljskem jezeru / A Cave by Zbilje lake,N 46° 09.066,E 014° 24.770,Slovenia,Osrednjeslovenska,Medvode,172,,
 GC3X3PM,Zadlaska (Dantejeva) Jama ,N 46° 12.012,E 013° 44.593,Slovenia,Goriška,Tolmin,128,,
 GC3X6CB,Route de la Corniche 2 - La Mine sous-marine,N 45° 04.494,W 000° 38.204,France,Nouvelle-Aquitaine,Gironde,251,,
 GC3XM2J,Križna jama / Križna cave,N 45° 44.742,E 014° 28.036,Slovenia,Littoral–Inner Carniola Region,Cerknica,140,,
 GC3XM2J,Križna jama / Križna cave,N 45° 44.742,E 014° 28.036,Slovenia,Littoral–Inner Carniola Region,Cerknica,140,,
 GC3XTK6,Rotta-Cave,N 47° 04.257,E 009° 52.081,Austria,Vorarlberg,Bludenz,27,,
 GC3XVDW,Cave Canem,N 50° 15.130,E 007° 19.100,Germany,Rheinland-Pfalz,Mayen-Koblenz (Lkr),118,,
 GC3XX76,"Cave, Hacava",N 48° 39.856,E 020° 49.795,Slovakia,Košický kraj,Košice - okolie,89,,
 GC3XXMN,Buddha's Höhle,N 48° 12.776,E 016° 15.611,Austria,Wien,Wien,391,,
 GC3YB97,Planinska Jama - An Underground Confluence, , , , , , ,,
 GC3YDZ8,Vestige d'Algrange - Mine d'Angevillers,N 49° 22.180,E 006° 03.177,France,Grand-Est,Moselle,151,,
 GC3YG9H,La prima grotta - The first cave,N 45° 52.805,E 011° 52.428,Italy,Veneto,Treviso,12,,
 GC3YG9H,La prima grotta - The first cave,N 45° 52.805,E 011° 52.428,Italy,Veneto,Treviso,12,,
 GC3YHFZ,La Grotta di Bourud (Genevris),N 45° 02.792,E 006° 52.678,Italy,Piemonte,Torino,16,,
 GC3YMQA,La Grotte de Pont,N 50° 22.096,E 006° 01.845,Belgium,Liège,Malmedy,205,,
 GC3YN35,Drive in  Cave/Jama,N 45° 57.612,E 013° 45.704,Slovenia,Goriška,Nova Gorica,33,,
 GC3YN35,Drive in  Cave/Jama,N 45° 57.612,E 013° 45.704,Slovenia,Goriška,Nova Gorica,33,,
 GC3YN74,Snežna jama,N 46° 01.449,E 013° 47.955,Slovenia,Goriška,Nova Gorica,23,,
 GC3YQ1G,Balestrate #2: La Grotta,N 38° 02.869,E 012° 59.888,Italy,Sicilia,Palermo,97,,
 GC3YQ2N,Grotta Gigante,N 45° 42.560,E 013° 45.870,Italy,Friuli-Venezia Giulia,Provincia di Trieste,394,,
 GC3YQ36,Enemy mine - near the Muggel's Territory,N 53° 30.112,E 010° 13.117,Germany,Hamburg,Hamburg,311,,
 GC3YQK0,Flyer greetz the sun,N 43° 53.045,E 125° 19.128,China,Jilin, ,44,,
 GC3Z4MC,Vestige d'Algrange - Mine de la Burbach,N 49° 21.484,E 006° 01.820,France,Grand-Est,Moselle,126,,
 GC3Z4Q5,Algrange 12 - La mine Sainte Barbe,N 49° 21.906,E 006° 02.923,France,Grand-Est,Moselle,213,,
 GC40AEP,Cave de Rocheval,N 46° 27.138,E 006° 19.456,Switzerland,Vaud,Gilly (22),250,,
 GC40GD5,KOPALNIA HALIOZYTU DUNINO,N 51° 08.709,E 016° 04.515,Poland,Dolnośląskie,Legnicki (Dolnośląskie),99,,
 GC40YKT,AGT 26: Jeskyne Sipka / Sipka cave,N 49° 35.271,E 018° 07.194,Czechia,Moravskoslezský kraj,Nový Jičín,2093,,
 GC41X1E,Höhle für Anfänger,N 47° 42.832,E 013° 05.555,Austria,Salzburg,Hallein,191,,
 GC428NZ,Jaskinia Niedźwiedzia,N 50° 14.067,E 016° 50.559,Poland,Dolnośląskie,Kłodzki (Dolnośląskie),339,,
 GC42H1D,L'ancienne mine de Piriac,N 47° 22.303,W 002° 32.856,France,Pays de la Loire,Loire-Atlantique,24,,
 GC42JB9,Une mine au dessus de Peyre,N 44° 06.088,E 003° 00.621,France,Occitanie,Aveyron,24,,
 GC42MEP,Grotte ND,N 50° 33.861,E 003° 55.196,Belgium,Hainaut,Lens,211,,
 GC42ZCQ,SVLC:Mine de lignite et usine de chaux ,N 44° 03.968,E 004° 38.050,France,Occitanie,Gard,160,,
 GC43GPK,Cave des Coyes [EdM],N 48° 35.443,E 001° 35.060,France,Centre-Val-de-Loire,Eure-et-Loir,131,,
 GC43V5B,Cave à Vin,N 48° 16.123,E 002° 44.254,France,Île-de-France,Seine-et-Marne,66,,
 GC43VF0,"The Cave, Part Deux",N 48° 51.811,E 002° 14.468,France,Île-de-France,Paris,290,,
 GC440TP,Zanabazar's meditation cave,N 47° 50.177,E 106° 53.283,Mongolia, , ,18,,
 GC449GW,La piccola grotta,N 45° 49.282,E 011° 57.844,Italy,Veneto,Treviso,91,,
 GC44FNR,Les roches de la Mine de Saint Clair,N 48° 41.207,W 000° 36.733,France,Normandie,Orne,42,,
 GC45DQJ,The Cave,N 49° 45.002,E 006° 10.710,Luxembourg,Canton Mersch,Fischbach,153,,
 GC45QGN,La mine de charbon,N 44° 01.519,E 002° 08.639,France,Occitanie,Tarn,98,,
 GC45T49,Jeskyne Postojna/Postojna Cave,N 50° 35.933,E 015° 12.521,Czechia,Liberecký kraj,Semily,583,,
 GC45YWH,#5 Richwiller: Giratoire de la carotte/Mine Max,N 47° 47.229,E 007° 15.404,France,Grand-Est,Haut-Rhin,196,,
 GC4640J,Jama Belojača / Belojaca cave,N 46° 17.945,E 015° 39.299,Slovenia,Podravska,Makole,39,,
 GC4640J,Jama Belojača / Belojaca cave,N 46° 17.945,E 015° 39.299,Slovenia,Podravska,Makole,39,,
 GC466W7,Grotte Notre Dame de Lourdes -Bertrix,N 49° 51.279,E 005° 15.336,Belgium,Luxembourg,Bertrix,51,,
 GC46QXX,HANDS 07: Booming Bad Bat Cave,N 48° 48.238,E 007° 43.685,France,Grand-Est,Bas-Rhin,36,,
 GC46V5J,De la Ragounite à la Mine #01,N 46° 24.802,W 001° 36.743,France,Pays de la Loire,Vendée,209,,
 GC46V5M,De la Ragounite à la Mine #02,N 46° 24.787,W 001° 36.881,France,Pays de la Loire,Vendée,377,,
 GC46V5N,De la Ragounite à la Mine #03,N 46° 24.757,W 001° 37.004,France,Pays de la Loire,Vendée,540,,
 GC46V5Q,De la Ragounite à la Mine #04,N 46° 24.788,W 001° 37.140,France,Pays de la Loire,Vendée,173,,
 GC46V5R,De la Ragounite à la Mine #05,N 46° 24.811,W 001° 37.287,France,Pays de la Loire,Vendée,496,,
 GC46V5T,De la Ragounite à la Mine #06,N 46° 24.798,W 001° 37.413,France,Pays de la Loire,Vendée,399,,
 GC46V5W,De la Ragounite à la Mine #07,N 46° 24.855,W 001° 37.531,France,Pays de la Loire,Vendée,378,,
 GC46V5Y,De la Ragounite à la Mine #08,N 46° 24.915,W 001° 37.631,France,Pays de la Loire,Vendée,372,,
 GC46V60,De la Ragounite à la Mine #10,N 46° 24.940,W 001° 37.487,France,Pays de la Loire,Vendée,278,,
 GC46V61,De la Ragounite à la Mine #11,N 46° 24.880,W 001° 37.365,France,Pays de la Loire,Vendée,200,,
 GC46V62,De la Ragounite à la Mine #12,N 46° 24.937,W 001° 37.235,France,Pays de la Loire,Vendée,282,,
 GC46V63,De la Ragounite à la Mine #09,N 46° 25.007,W 001° 37.605,France,Pays de la Loire,Vendée,329,,
 GC46WZD,Die Mine von Moria,N 49° 06.264,E 009° 53.627,Germany,Baden-Württemberg,Schwäbisch Hall (Lkr),107,,
 GC46ZB2,les castors font grise mine,N 44° 29.318,E 004° 10.537,France,Auvergne-Rhône-Alpes,Ardèche,23,,
 GC47274,Grotta a Piè Lucese,N 43° 56.727,E 010° 23.425,Italy,Toscana,Lucca,44,,
 GC47E39,Jaskinia Malinowska / Malinowska Cave,N 49° 39.450,E 018° 58.936,Poland,Śląskie,Cieszyński (Śląskie),76,,
 GC47E39,Jaskinia Malinowska / Malinowska Cave,N 49° 39.450,E 018° 58.936,Poland,Śląskie,Cieszyński (Śląskie),76,,
 GC47GGY,Lärchberg-Höhle,N 47° 34.910,E 012° 40.942,Austria,Salzburg,Zell am See,117,,
 GC47N3Z,La mine d'étain d'Abbaretz,N 47° 33.693,W 001° 32.631,France,Pays de la Loire,Loire-Atlantique,81,,
 GC47YQT,WWI Grotta del Cannone,N 45° 50.339,E 012° 12.345,Italy,Veneto,Treviso,49,,
 GC487RF,The Mine,N 47° 42.104,E 015° 47.567,Austria,Niederösterreich,Bezirk Neunkirchen,69,,
 GC48995,PST km 12 - Gramozna jama,N 46° 04.454,E 014° 31.567,Slovenia,Osrednjeslovenska,Ljubljana,171,,
 GC48GRN,[ESD] Circuit des Carrières # la Barre à mine,N 45° 01.869,E 005° 46.677,France,Auvergne-Rhône-Alpes,Isère,91,,
 GC48WBZ,La Grotte Saint-Remacle,N 49° 48.522,E 005° 11.715,Belgium,Luxembourg,Bertrix,160,,
 GC48X6V,La cave du château,N 47° 00.380,E 000° 19.820,France,Centre-Val-de-Loire,Indre-et-Loire,142,,
 GC49H8A,Batman's cave,N 52° 18.276,E 004° 48.691,Netherlands,Noord-Holland,Amstelveen,768,,
 GC49Q7R,Ex Grandi Cave Gollin-Andolfatto,N 45° 48.426,E 011° 44.886,Italy,Veneto,Vicenza,11,,
 GC49RYW,Bolechowice - Kopalnia / Quarry / Steinbruch,N 50° 48.970,E 020° 30.907,Poland,Świętokrzyskie,Kielecki (Świętokrzyskie),52,,
 GC4A07C,Schneckenlochhöhle (Snail Hole Cave),N 47° 22.467,E 010° 04.083,Austria,Vorarlberg,Bregenz,44,,
 GC4A7N5,26mon5: la grotte,N 50° 01.976,E 004° 55.321,Belgium,Namur,Gedinne,304,,
 GC4A9QD,Vodna jama Lebica/water hole Lebica,N 45° 39.090,E 015° 11.507,Slovenia,Jugovzhodna Slovenija,Semič,77,,
 GC4AAF4,[Boît'à Sel] - La mine de sel de Varangéville,N 48° 38.300,E 006° 18.500,France,Grand-Est,Meurthe-et-Moselle,66,,
 GC4AJ0Q,Ans - La mine,N 50° 39.214,E 005° 31.636,Belgium,Liège,Ans,223,,
 GC4B3CG,durch diese hohle Gasse ...,N 47° 16.376,E 011° 30.965,Austria,Tirol,Innsbruck-Land,87,,
 GC4B49B,Batman´s Cave,N 50° 59.199,E 007° 28.690,Germany,Nordrhein-Westfalen,Oberbergischer Kreis,43,,
 GC4B71W,Le tour du pic saint loup #27Bis La Cave Gennevaux,N 43° 46.465,E 003° 49.573,France,Occitanie,Hérault,140,,
 GC4BNHN,Let´s go gospel- Bonus- This little light of mine,N 51° 56.841,E 009° 44.893,Germany,Niedersachsen,Holzminden (Lkr),57,,
 GC4CDM9,Cave #6 - Kleine Eishöhle,N 47° 43.072,E 012° 59.837,Austria,Salzburg,Salzburg-Umgebung,5,,
 GC4CRMA,Cavecchie trail 3 - la grotta,N 45° 26.806,E 011° 27.958,Italy,Veneto,Vicenza,19,,
 GC4CX9Q,la mine temoin,N 44° 07.941,E 004° 04.006,France,Occitanie,Gard,160,,
 GC4CZ25,Nous irons au bois... 3: la mine,N 50° 24.886,E 004° 21.043,Belgium,Hainaut,Fontaine-l'Évêque,36,,
 GC4D7TH,Durch diese hohle Gasse ...,N 47° 47.855,E 016° 30.003,Austria,Burgenland,Bezirk Eisenstadt-Umgebung,155,,
 GC4DC3E,Kopalnia Majówka IV,N 51° 03.891,E 021° 05.291,Poland,Świętokrzyskie,Starachowicki (Świętokrzyskie),15,,
 GC4DCYH,La Grotte de Kaschbour - Reloaded,N 49° 42.662,E 005° 42.114,Belgium,Luxembourg,Habay,245,,
 GC4DEH1,Lamprechtskogel - Höhle (2727/1),N 46° 41.694,E 014° 33.970,Austria,Kärnten,Völkermarkt,56,,
 GC4E2V7,Beaune : c'était une VER(T)itable mine d'or,N 45° 54.817,E 001° 18.037,France,Nouvelle-Aquitaine,Haute-Vienne,129,,
 GC4E567,Sentier de Ronde #5 Mine du Pont Piron,N 47° 47.656,E 006° 46.891,France,Bourgogne-Franche-Comté,Haute-Saône,26,,
 GC4EE02,Yin Yang Park,N 43° 52.553,E 125° 15.149,China,Jilin, ,17,,
 GC4EE08,Sporting Changchun,N 43° 52.628,E 125° 15.013,China,Jilin, ,5,,
 GC4EHF8,"RGC-EVENT Goldrush ""The Mine""",N 51° 00.750,E 003° 13.950,Belgium,West-Vlaanderen,Pittem,27,,
 GC4ENGZ,small cave,N 47° 37.336,E 013° 59.618,Austria,Steiermark,Bezirk Liezen,10,,
 GC4F9PK,La Grotta di forno Alpi Graie,N 45° 21.881,E 007° 13.325,Italy,Piemonte,Torino,15,,
 GC4FFVX,The Cave,N 48° 45.771,E 009° 11.163,Germany,Baden-Württemberg,Stuttgart,145,,
 GC4FVFB,cave canem,N 52° 15.057,E 009° 31.999,Germany,Niedersachsen,Region Hannover,271,,
 GC4FVRK,The Cave II,N 48° 45.477,E 009° 10.887,Germany,Baden-Württemberg,Stuttgart,241,,
 GC4G1MQ,2. Gaisbergrunde - kleine Höhle,N 47° 48.126,E 013° 06.342,Austria,Salzburg,Salzburg,918,,
 GC4G37J,"Ściezka Geoturystyczna ""Dawna Kopalnia Babina""",N 51° 31.820,E 014° 46.022,Poland,Lubuskie,żarski (Lubuskie),150,,
 GC4G3CK,Die Höhle von Ischgl,N 46° 59.048,E 010° 19.030,Austria,Tirol,Landeck,484,,
 GC4G550,The Cave III,N 48° 45.905,E 009° 11.714,Germany,Baden-Württemberg,Stuttgart,101,,
 GC4GD8N,Vista sulla Grotta della neve,N 46° 37.507,E 011° 56.886,Italy,Trentino-Alto Adige,Bolzano - Bozen,128,,
 GC4GK5H,Uranovy dul Dylen / Uranium Mine Dylen,N 49° 56.114,E 012° 31.269,Czechia,Karlovarský kraj,Cheb,158,,
 GC4GKFD,Jaskinia Dziura,N 49° 16.317,E 019° 56.550,Poland,Małopolskie,Tatrzański (Małopolskie),0,,
 GC4GVPJ,grotta del cardinale,N 46° 00.767,E 009° 31.199,Italy,Lombardia,Lecco,7,,
 GC4H0E3,The old Silver-Mine,N 47° 16.822,E 015° 17.020,Austria,Steiermark,Graz-Umgebung,73,,
 GC4H1BN,Grotta del Ciclope,N 45° 59.056,E 010° 31.628,Italy,Trentino-Alto Adige,Trento,1,,
 GC4H76D,Le Musée de la Mine,N 46° 42.068,E 004° 22.951,France,Bourgogne-Franche-Comté,Saône-et-Loire,82,,
 GC4HA32,"The Legend of Zelda - ""Mine der Goronen""",N 51° 04.024,E 012° 27.828,Germany,Sachsen,Leipzig (Lkr),88,,
 GC4HBY0,"Die 9er Höhle am ""Loasteig""",N 47° 36.392,E 014° 12.271,Austria,Steiermark,Bezirk Liezen,9,,
 GC4HK0Y,Jaskinia Twardowskiego,N 50° 02.336,E 019° 54.149,Poland,Małopolskie,Kraków (Małopolskie),50,,
 GC4HVBX,STDM #7 La mine Saint Lorentz,N 48° 13.408,E 007° 09.653,France,Grand-Est,Haut-Rhin,194,,
 GC4HVCD,STDM #11 La mine Saint Michel,N 48° 13.071,E 007° 09.292,France,Grand-Est,Haut-Rhin,193,,
 GC4HVCR,STDM #12 La mine Saint Louis Eisenthür,N 48° 13.071,E 007° 09.441,France,Grand-Est,Haut-Rhin,183,,
 GC4HVD3,STDM #13 La mine de fer carburé,N 48° 13.102,E 007° 09.575,France,Grand-Est,Haut-Rhin,188,,
 GC4HXRR,LA CAVE DE NANKUA,N 46° 52.228,E 005° 47.283,France,Bourgogne-Franche-Comté,Jura,28,,
 GC4J919,La Cave de Vaux,N 47° 12.788,E 001° 26.631,France,Centre-Val-de-Loire,Indre,85,,
 GC4JA6Y,Kiebitzhöhe,N 51° 11.222,E 011° 12.333,Germany,Thüringen,Sömmerda (Lkr),59,,
 GC4JH35,Gratlspitz 1 - The cave,N 47° 25.103,E 011° 57.230,Austria,Tirol,Kufstein,54,,
 GC4JN1M,"Kleine ""Partisanen-Höhle""",N 48° 15.988,E 015° 00.017,Austria,Niederösterreich,Bezirk Melk,44,,
 GC4JV4C,Ice cave,N 48° 10.329,E 099° 49.565,Mongolia, , ,14,,
 GC4JV4T,Yellow Dog's Hell cave,N 48° 10.341,E 099° 49.816,Mongolia, , ,25,,
 GC4JWYV, Jaskinia Ostrężnicka,N 50° 40.492,E 019° 24.033,Poland,Śląskie,Częstochowski (Śląskie),70,,
 GC4K7BK,ZRR8 - Stephen's Spring Cave,N 49° 57.595,E 007° 01.341,Germany,Rheinland-Pfalz,Bernkastel-Wittlich (Lkr),438,,
 GC4KV9W,Quasimodos Cave,N 51° 43.673,E 009° 52.861,Germany,Niedersachsen,Northeim (Lkr),81,,
 GC4KVFP,La cave Gallo Romaine de Taverny,N 49° 01.374,E 002° 12.589,France,Île-de-France,Val-d'Oise,115,,
 GC4KXQJ,Legolandschaft#1- Die Mine,N 46° 36.418,E 014° 22.504,Austria,Kärnten,Klagenfurt-Land,247,,
 GC4M02R,Kopalnia oleju skalnego w Bóbrce,N 49° 36.988,E 021° 42.683,Poland,Podkarpackie,Krośnieński (Podkarpackie),169,,
 GC4MEXC,"Zabytkowa Kopalnia Węgla Kamiennego ""Guido""",N 50° 17.358,E 018° 47.564,Poland,Śląskie,Zabrze (Śląskie),413,,
 GC4MYJK,Grotte aux sardines,N 47° 16.115,E 007° 20.764,Switzerland,Bern,Moutier (2),27,,
 GC4NB6X,Hochrindl 3 Die Höhle (Baumwurzel),N 46° 51.788,E 013° 57.074,Austria,Kärnten,Feldkirchen,178,,
 GC4NCMH,Lučka jama / Luče cave,N 45° 55.075,E 014° 43.534,Slovenia,Osrednjeslovenska,Grosuplje,61,,
 GC4NCMH,Lučka jama / Luče cave,N 45° 55.075,E 014° 43.534,Slovenia,Osrednjeslovenska,Grosuplje,61,,
 GC4NQHV,Velika jama nad Rašico,N 46° 08.318,E 014° 30.579,Slovenia,Osrednjeslovenska,Ljubljana,50,,
 GC4NRFH,Am Schwanteich,N 51° 11.450,E 011° 14.668,Germany,Thüringen,Sömmerda (Lkr),216,,
 GC4NV3K,"Mausbendlloch, Cave",N 47° 30.280,E 013° 52.115,Austria,Steiermark,Bezirk Liezen,17,,
 GC4P5E0,La Mine du Fays,N 49° 32.985,E 005° 45.307,Belgium,Luxembourg,Aubange,37,,
 GC4PF38,The Jewish Cave,N 49° 01.411,E 019° 38.343,Slovakia,Žilinský kraj,Liptovský Mikuláš,101,,
 GC4PQ9E,"Cave, Hatiny",N 48° 39.137,E 021° 00.078,Slovakia,Košický kraj,Košice - okolie,74,,
 GC4PV4R,La grotte,N 49° 45.732,E 005° 23.624,Belgium,Luxembourg,Chiny,122,,
 GC4Q60Y,SKKT Azymut - Jaskinia Stalagmitowa,N 51° 05.835,E 018° 47.465,Poland,Łódzkie,Pajęczański (Łódzkie),58,,
 GC4QG5E,Jaskinia Komonieckiego / ABB,N 49° 45.509,E 019° 24.616,Poland,Śląskie,żywiecki (Śląskie),61,,
 GC4QKCC,Bergwerk,N 46° 35.590,E 013° 42.560,Austria,Kärnten,Villach-Land,636,,
