,NAU.sample.ID,Pd1,Pd2,Pd3,Pd4,Pd5,Pd6,Pd7,Pd8,Pd9,Pd10,Pd11,Pd12,Pd13,Pd14,Pd15,Pd16,Pd17,Pd18,Pd19,Pd20,Pd21,Pd22,Pd23,Pd1_bins,Pd2_bins,Pd3_bins,Pd4_bins,Pd5_bins,Pd6_bins,Pd7_bins,Pd8_bins,Pd10_bins,Pd11_bins,Pd12_bins,Pd13_bins,Pd14_bins,Pd15_bins,Pd16_bins,Pd17_bins,Pd18_bins,Pd19_bins,Pd20_bins,Pd21_bins,Pd22_bins,Pd23_bins
Gd00493,Gd00493,261,231,263,337,273,196,268,431,363,220,261,158,445,251,NA,318,244,167,270,192,265,450,346,258,NA,NA,NA,267,195,NA,408,NA,NA,153,444,239,NA,315,NA,155,266,186,259,NA,341
Gd00494,Gd00494,311,542,263,372,339,196,371,NA,364,220,260,140,401,282,NA,318,244,166,280,192,265,450,351,306,NA,NA,NA,NA,195,NA,NA,NA,NA,135,NA,275,NA,315,NA,155,276,186,259,NA,346
Gd00495,Gd00495,205,317,263,410,370,208,273,331,379,227,248,158,402,294,411,318,280,166,265,192,264,380,346,NA,NA,NA,409,NA,207,NA,316,225,NA,153,NA,NA,400,315,274,155,261,186,259,NA,341
Gd00496,Gd00496,205,318,264,410,370,208,273,331,379,226,249,158,NA,293,NA,318,281,167,265,192,265,390,346,NA,NA,NA,409,NA,207,NA,316,225,NA,153,NA,NA,NA,315,280,155,261,186,259,NA,341
Gd00003,Gd00003,222,433,263,377,364,214,223,428,364,238,248,164,402,258,412,312,287,167,270,192,264,380,351,NA,NA,NA,NA,NA,213,NA,408,237,NA,NA,NA,251,400,NA,NA,155,266,186,259,NA,346
Gd00080,Gd00080,296,156,354,376,346,214,453,431,363,243,255,152,402,311,357,318,238,167,265,192,283,322,272,294,NA,353,NA,NA,213,451,408,237,NA,147,NA,NA,NA,315,NA,155,261,186,277,321,NA
Gd00498,Gd00498,210,184,263,433,205,208,208,431,378,226,255,147,409,329,418,318,244,167,265,192,264,381,346,NA,NA,NA,427,NA,207,NA,408,225,NA,141,408,NA,412,315,NA,155,261,186,259,NA,341
Gd00079,Gd00079,251,364,263,415,273,214,268,431,379,227,248,147,432,336,366,318,268,167,270,205,270,322,352,NA,NA,NA,409,267,213,NA,408,225,NA,141,426,NA,NA,315,262,155,266,NA,265,321,351
Gd00499,Gd00499,205,376,263,400,242,208,223,431,394,238,248,147,NA,263,NA,318,238,167,270,192,264,322,326,NA,NA,NA,NA,NA,207,NA,408,237,NA,141,NA,251,NA,315,NA,155,266,186,259,321,NA
Gd00501,Gd00501,220,299,263,377,364,208,222,431,409,231,NA,141,402,257,NA,318,244,166,275,192,265,431,326,NA,295,NA,NA,NA,207,NA,408,225,NA,135,NA,251,NA,315,NA,155,271,186,259,NA,NA
