GC,title,url,lat,lon,country,province.state,county,numfinds,numpage
GC3HYKW,CaveOfTheBearClan,NA,42.5267666666667,-89.1773833333333,UnitedStates,Iowa,DubuqueCounty,51,NA
GC3J1A7,ThisLittleLightofMine,NA,32.49105,-85.8789,UnitedStates,Alabama,ElmoreCounty,9,NA
GC3J6AK,TheCaveofCaerbannog,NA,37.5298333333333,-119.7184,UnitedStates,California,MariposaCounty,7,NA
GC3J7QR,WascottCopperMine#5,NA,46.2269,-90.4446166666667,UnitedStates,Wisconsin,DouglasCounty,15,NA
GC3J7W9,WascottCopperMine#6,NA,46.2297833333333,-90.44725,UnitedStates,Wisconsin,DouglasCounty,11,NA
GC3J7X4,WascottCopperMine#7,NA,46.2289166666667,-90.44495,UnitedStates,Wisconsin,DouglasCounty,10,NA
GC3J7YX,WascottCopperMine#8,NA,46.2271666666667,-90.4414666666667,UnitedStates,Wisconsin,DouglasCounty,11,NA
GC3J821,WascottCopperMine#9,NA,46.21925,-90.4407166666667,UnitedStates,Wisconsin,DouglasCounty,32,NA
GC3J83Y,WascottCopperMine#10,NA,46.2185666666667,-90.4431166666667,UnitedStates,Wisconsin,DouglasCounty,23,NA
GC3J86R,WascottCopperMine#11,NA,46.2168333333333,-90.4443666666667,UnitedStates,Wisconsin,DouglasCounty,24,NA
GC3J8HN,WascottCopperMine,NA,46.2198333333333,-90.4238833333333,UnitedStates,Wisconsin,DouglasCounty,17,NA
GC3JGHH,NiagaraCave,NA,43.5140166666667,-91.9451666666667,UnitedStates,Minnesota,FillmoreCounty,104,NA
GC3JK68,ASurpriseofMine,NA,NA,NA,NA,NA,NA,NA,NA
GC3JMBD,EastCopperMineLoopCache#1,NA,46.2171666666667,-90.42315,UnitedStates,Wisconsin,DouglasCounty,32,NA
GC3JMGY,Err:509,NA,NA,NA,NA,NA,NA,NA,NA
GC3JXJC,Forestville/MysteryCaveStateParkAvianAdventur,NA,43.64045,-91.78155,UnitedStates,Minnesota,FillmoreCounty,200,NA
GC3JXMR,HillAnnexMineStateParkAvianAdventure,NA,47.3264166666667,-92.7217166666667,UnitedStates,Minnesota,ItascaCounty,133,NA
GC3JXY4,SoudanUndergroundMineStateParkAvianAdventure,NA,47.8182666666667,-91.7611666666667,UnitedStates,Minnesota,St.LouisCounty,184,NA
GC3K1PT,WANTTOBUYAGOLDMINE,NA,NA,NA,NA,NA,NA,NA,NA
GC3K24W,MineHillTrailsideCache,NA,37.1937166666667,-120.13175,UnitedStates,California,SantaClaraCounty,48,NA
GC3K7ZW,WarrenParkCave,NA,42.0012166666667,-86.3168333333333,UnitedStates,Illinois,CookCounty,48,NA
GC3KD67,OneidaCountyCave,NA,45.6439,-88.5409333333333,UnitedStates,Wisconsin,OneidaCounty,118,NA
GC3KMY6,CurlyRockCave,NA,37.527,-112.670316666667,UnitedStates,Utah,WashingtonCounty,8,NA
GC3KWFQ,Jugomine,NA,43.67505,-98.6488666666667,UnitedStates,SouthDakota,BruleCounty,10,NA
GC3KWPM,LilleLoop-BlairmoreMineCache,NA,49.6152833333333,-113.555466666667,Canada,Alberta,DivisionNo.15Canmore,18,NA
GC3KWT2,TheMinePits,NA,49.6699166666667,-113.57355,Canada,Alberta,DivisionNo.15Canmore,10,NA
GC3KYQX,Abovethecave,NA,39.2188,-119.89005,UnitedStates,California,PlacerCounty,12,NA
GC3M5NY,BisonCave,NA,35.6152333333333,-96.4474166666667,UnitedStates,Oklahoma,OklahomaCounty,44,NA
GC3M6XG,ThisLittleLightofMine,NA,32.7098666666667,-96.8707166666667,UnitedStates,Texas,TarrantCounty,76,NA
GC3M8JJ,DoesThisCaveLookLikeaChineseGolirratoYou?,NA,NA,NA,NA,NA,NA,NA,NA
GC3MEPJ,Rhinoontheroadtothemine.,NA,40.7549833333333,-121.5821,UnitedStates,California,ShastaCounty,10,NA
GC3N0B5,VictoryIsMine!,NA,33.1818,-95.3558833333333,UnitedStates,Texas,CollinCounty,56,NA
GC3NGDN,TheTurquoiseMine,NA,34.4302666666667,-115.553966666667,UnitedStates,California,SanBernardinoCounty,12,NA
GC3NN7W,ThisLittleLightofMine,NA,33.6607833333333,-94.4098333333333,UnitedStates,Texas,LamarCounty,17,NA
GC3NQ64,Mini-caveonBigCedarCreek,NA,NA,NA,NA,NA,NA,NA,NA
GC3NRFJ,WoodenCave,NA,42.9536,-90.39315,UnitedStates,Iowa,FayetteCounty,10,NA
GC3P54B,MineRoad,NA,47.4441166666667,-100.136216666667,UnitedStates,NorthDakota,MercerCounty,6,NA
GC3P5XM,Layla'sRiverRun-CaveDweller,NA,42.5149,-92.68885,UnitedStates,Iowa,HardinCounty,25,NA
GC3PAWZ,Creature'sCacheCave,NA,38.0479666666667,-121.8523,UnitedStates,California,SolanoCounty,160,NA
GC3PBVH,RushmoreCave,NA,43.8732833333333,-102.668,UnitedStates,SouthDakota,PenningtonCounty,159,NA
GC3PJ09,OutlawCaveCache,NA,43.5904833333333,-105.047733333333,UnitedStates,Wyoming,JohnsonCounty,4,NA
GC3PN4T,ClanoftheCaveBear(Revitalized),NA,42.5624833333333,-88.9489666666667,UnitedStates,Wisconsin,RockCounty,25,NA
GC3PQK6,KAS#38-CavePark,NA,37.2754666666667,-96.8363833333333,UnitedStates,Kansas,SumnerCounty,76,NA
GC3PT2Y,Friday-Loudenmine,NA,40.7535333333333,-121.539766666667,UnitedStates,California,ShastaCounty,23,NA
GC3PVYN,Gollum'sCave,NA,41.9054166666667,-90.4857666666667,UnitedStates,Iowa,LinnCounty,35,NA
GC3PZWC,OnceUponAmine,NA,51.31125,-54.3790666666667,Canada,NewfoundlandandLabrador,DivisionNo.1AvalonPeninsula-St.John's,15,NA
GC3Q2CJ,Porterville'sOldCoalMineHill,NA,39.0824333333333,-86.1564333333333,UnitedStates,Illinois,CrawfordCounty,42,NA
GC3Q9C6,RL125:19ToTheCave!,NA,45.3113833333333,-90.3576,UnitedStates,Wisconsin,BarronCounty,48,NA
