county,WNS_MAP_YR,WNS_STATUS
Ashland-Ohio,2018-19,Absent
Athens-Ohio,2006-07,Absent
Athens-Ohio,2007-08,Absent
Athens-Ohio,2008-09,Absent
Athens-Ohio,2009-10,Absent
Athens-Ohio,2010-11,Absent
Athens-Ohio,2011-12,Absent
Athens-Ohio,2013-14,Absent
Athens-Ohio,2014-15,Absent
Athens-Ohio,2015-16,Absent
Athens-Ohio,2016-17,Absent
Athens-Ohio,2017-18,Absent
Athens-Ohio,2018-19,Absent
Augusta-Virginia,2006-07,Absent
Augusta-Virginia,2007-08,Absent
Augusta-Virginia,2008-09,Absent
Augusta-Virginia,2009-10,Absent
Augusta-Virginia,2011-12,Absent
Augusta-Virginia,2012-13,Absent
Augusta-Virginia,2013-14,Absent
Augusta-Virginia,2014-15,Absent
Augusta-Virginia,2015-16,Absent
Augusta-Virginia,2016-17,Absent
Augusta-Virginia,2017-18,Absent
Augusta-Virginia,2018-19,Absent
Avery-North Carolina,2006-07,Absent
Avery-North Carolina,2007-08,Absent
Avery-North Carolina,2008-09,Absent
Avery-North Carolina,2009-10,Absent
Avery-North Carolina,2011-12,Absent
Avery-North Carolina,2012-13,Absent
Avery-North Carolina,2013-14,Absent
Avery-North Carolina,2014-15,Absent
Avery-North Carolina,2015-16,Absent
Avery-North Carolina,2016-17,Absent
Avery-North Carolina,2017-18,Absent
Avery-North Carolina,2018-19,Absent
Bandera-Texas,2006-07,Absent
Bandera-Texas,2007-08,Absent
Bandera-Texas,2008-09,Absent
Bandera-Texas,2009-10,Absent
Bandera-Texas,2010-11,Absent
Bandera-Texas,2011-12,Absent
Bandera-Texas,2012-13,Absent
Bandera-Texas,2013-14,Absent
Bandera-Texas,2014-15,Absent
Bandera-Texas,2015-16,Absent
Bandera-Texas,2016-17,Absent
Bandera-Texas,2017-18,Absent
Baraga-Michigan,2006-07,Absent
Baraga-Michigan,2007-08,Absent
Baraga-Michigan,2008-09,Absent
Baraga-Michigan,2009-10,Absent
Baraga-Michigan,2010-11,Absent
Baraga-Michigan,2011-12,Absent
Baraga-Michigan,2012-13,Absent
Baraga-Michigan,2013-14,Absent
Baraga-Michigan,2014-15,Absent
Baraga-Michigan,2015-16,Absent
Baraga-Michigan,2017-18,Absent
Baraga-Michigan,2018-19,Absent
Barber-Kansas,2006-07,Absent
Barber-Kansas,2007-08,Absent
Barber-Kansas,2008-09,Absent
Barber-Kansas,2009-10,Absent
Barber-Kansas,2010-11,Absent
Barber-Kansas,2011-12,Absent
Barber-Kansas,2012-13,Absent
Barber-Kansas,2013-14,Absent
Barber-Kansas,2014-15,Absent
Barber-Kansas,2015-16,Absent
Barber-Kansas,2016-17,Absent
Barber-Kansas,2018-19,Absent
Barnstable-Massachusetts,2006-07,Absent
Barnstable-Massachusetts,2007-08,Absent
Barnstable-Massachusetts,2008-09,Absent
Barnstable-Massachusetts,2009-10,Absent
Barnstable-Massachusetts,2010-11,Absent
Barnstable-Massachusetts,2011-12,Absent
Barnstable-Massachusetts,2013-14,Absent
Barnstable-Massachusetts,2014-15,Absent
Barnstable-Massachusetts,2015-16,Absent
Barnstable-Massachusetts,2016-17,Absent
Barnstable-Massachusetts,2017-18,Absent
Barnstable-Massachusetts,2018-19,Absent
Barren-Kentucky,2006-07,Absent
Barren-Kentucky,2007-08,Absent
Barren-Kentucky,2008-09,Absent
Barren-Kentucky,2009-10,Absent
Barren-Kentucky,2010-11,Absent
Barren-Kentucky,2011-12,Absent
