"","gc.lat","gen.lat","gc.lon","gen.lon","dist","Region","Country","Province","StrainID","sra_code","lon.x","cave","GC","lon.y","mean"
"91",45.8425,46.164912,-61.8994444444444,-62.81343,79348.3786828701,"North America","Canada","PEI","PE3","PE3",-62.81343,"Uigg","GCWB1Q",-61.8994444444444,4.33333333333333
"92",45.8425,46.059712,-61.8994444444444,-63.012986,89645.9106014379,"North America","Canada","PEI","PE5","PE5",-63.012986,"Prim Point","GCWB1Q",-61.8994444444444,4.33333333333333
"93",45.8425,46.179741,-61.8994444444444,-62.88424,84983.0396049559,"North America","Canada","PEI","PE4","PE4",-62.88424,"Vernon Bridge","GCWB1Q",-61.8994444444444,4.33333333333333
"94",45.8425,46.014727,-61.8994444444444,-62.610955,58412.3897464912,"North America","Canada","PEI","PE8","PE8",-62.610955,"Murray River","GCWB1Q",-61.8994444444444,4.33333333333333
"95",45.8425,46.060933,-61.8994444444444,-62.710862,67431.7828263116,"North America","Canada","PEI","PE6","PE6",-62.710862,"Caledonia","GCWB1Q",-61.8994444444444,4.33333333333333
"96",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB22","NB22",-64.645711,"Berryton Cave","GC16QVH",-64.4227777777778,8.88461538461539
"97",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB53","NB53",-64.645711,"Berryton Cave","GC16QVH",-64.4227777777778,8.88461538461539
"98",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB42","NB42",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
"99",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB60","NB60",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
"100",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB19","NB19",-64.645711,"Berryton Cave","GC16QVH",-64.4227777777778,8.88461538461539
"101",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB15","NB15",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
"102",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB8","NB8",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
"103",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB58","NB58",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
"104",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB52","NB52",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
"105",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB7","NB7",-64.645711,"Berryton Cave","GC16QVH",-64.4227777777778,8.88461538461539
"106",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB21","NB21",-64.645711,"Berryton Cave","GC16QVH",-64.4227777777778,8.88461538461539
"107",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB20","NB20",-64.645711,"Berryton Cave","GC16QVH",-64.4227777777778,8.88461538461539
"108",45.8875,46.203033,-64.4227777777778,-63.150144,104558.068451438,"North America","Canada","PEI","PE1","PE1",-63.150144,"Rocky Point","GC16QVH",-64.4227777777778,8.88461538461539
"109",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB70","NB70",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
"110",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB45","NB45",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
"111",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB34","NB34",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
"112",45.8875,46.203033,-64.4227777777778,-63.150144,104558.068451438,"North America","Canada","PEI","PE2","PE2",-63.150144,"Rocky Point","GC16QVH",-64.4227777777778,8.88461538461539
"113",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB59","NB59",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
"114",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB29","NB29",-64.645711,"White Cave","GC16QVH",-64.4227777777778,8.88461538461539
