GC,title,nospace,url,lat,lon,country,province/state,county,numfinds
GC30BGE,Firing on all cylinders?,firing-on-all-cylinders,https://www.geocaching.com/geocache/GC30BGE_firing-on-all-cylinders,N 47° 12.938,W 055° 24.505,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,42
GC30BHH,Old Pasture,old-pasture,https://www.geocaching.com/geocache/GC30BHH_old-pasture,N 47° 13.069,W 055° 24.615,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,32
GC30BM1,Now that's a tree!,now-thats-a-tree,https://www.geocaching.com/geocache/GC30BM1_now-thats-a-tree,N 47° 09.870,W 055° 09.098,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,22
GC30E7H,Pole's Pond Road,poles-pond-road,https://www.geocaching.com/geocache/GC30E7H_poles-pond-road,N 47° 13.393,W 055° 21.641,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,31
GC30E8A,Angel's Watching Over You #2,angels-watching-over-you-2,https://www.geocaching.com/geocache/GC30E8A_angels-watching-over-you-2,N 47° 13.050,W 055° 24.448,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,59
GC30E8W,ROCKin' cache,rockin-cache,https://www.geocaching.com/geocache/GC30E8W_rockin-cache,N 47° 33.278,W 052° 44.164,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,165
GC30H64,Playground Cache 5,playground-cache-5,https://www.geocaching.com/geocache/GC30H64_playground-cache-5,N 48° 57.045,W 055° 37.195,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,10
GC30X99,Burnside Bridge Cache,burnside-bridge-cache,https://www.geocaching.com/geocache/GC30X99_burnside-bridge-cache,N 48° 43.148,W 053° 47.598,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,46
GC30YVP,Round rocks in Flatrock,round-rocks-in-flatrock,https://www.geocaching.com/geocache/GC30YVP_round-rocks-in-flatrock,N 47° 41.978,W 052° 42.346,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,135
GC3118J,Sea-nic #1,seanic-1,https://www.geocaching.com/geocache/GC3118J_seanic-1,N 50° 17.692,W 057° 33.372,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,126
