GC,title,lower,nospace,url,lat,lon,numfind,numpage
GC748MH,58- SHORTCUT ROUTE 112,58 shortcut route 112,58-shortcut-route-112,https://www.geocaching.com/geocache/GC748MH_58-shortcut-route-112,N 46° 02.345,W 065° 35.841,41,2
GC748N4,59- SHORTCUT ROUTE 112,59 shortcut route 112,59-shortcut-route-112,https://www.geocaching.com/geocache/GC748N4_59-shortcut-route-112,N 46° 02.036,W 065° 36.022,46,2
GC748N9,60- SHORTCUT ROUTE 112,60 shortcut route 112,60-shortcut-route-112,https://www.geocaching.com/geocache/GC748N9_60-shortcut-route-112,N 46° 01.467,W 065° 37.336,45,2
GC748NA,61- SHORTCUT ROUTE 112,61 shortcut route 112,61-shortcut-route-112,https://www.geocaching.com/geocache/GC748NA_61-shortcut-route-112,N 46° 00.857,W 065° 37.974,44,2
GC748ND,63- SHORTCUT ROUTE 112,63 shortcut route 112,63-shortcut-route-112,https://www.geocaching.com/geocache/GC748ND_63-shortcut-route-112,N 46° 00.257,W 065° 38.344,13,1
GC748NG,62- SHORTCUT ROUTE 112,62 shortcut route 112,62-shortcut-route-112,https://www.geocaching.com/geocache/GC748NG_62-shortcut-route-112,N 46° 00.696,W 065° 38.072,45,2
GC748NJ,64- SHORTCUT ROUTE 112,64 shortcut route 112,64-shortcut-route-112,https://www.geocaching.com/geocache/GC748NJ_64-shortcut-route-112,N 45° 59.943,W 065° 38.850,44,2
GC748NN,65- SHORTCUT ROUTE 112 - Over a barrel,65 shortcut route 112  over a barrel,65-shortcut-route-112-over-a-barrel,https://www.geocaching.com/geocache/GC748NN_65-shortcut-route-112-over-a-barrel,N 45° 59.645,W 065° 39.428,45,2
GC748NR,66- SHORTCUT ROUTE 112,66 shortcut route 112,66-shortcut-route-112,https://www.geocaching.com/geocache/GC748NR_66-shortcut-route-112,N 45° 58.857,W 065° 40.447,40,2
GC748NW,67- SHORTCUT ROUTE 112 - Cap't Obvious,67 shortcut route 112  capt obvious,67-shortcut-route-112-capt-obvious,https://www.geocaching.com/geocache/GC748NW_67-shortcut-route-112-capt-obvious,N 45° 58.706,W 065° 40.674,46,2
